2018-04-30 09:13:09,679  INFO | Starting SpringBootTestApplication on vitzrobisrnd-PC with PID 22320 (D:\_Develope\_Sources\_Github\VitzroProject\VitzroProject\target\classes started by SMK in D:\_Develope\_Sources\_Github\VitzroProject\VitzroProject) | c.v.SpringBootTestApplication 
2018-04-30 09:13:09,690 DEBUG | Running with Spring Boot v2.0.1.RELEASE, Spring v5.0.5.RELEASE | c.v.SpringBootTestApplication 
2018-04-30 09:13:09,691  INFO | No active profile set, falling back to default profiles: default | c.v.SpringBootTestApplication 
2018-04-30 09:13:11,135 DEBUG | Driver class oracle.jdbc.driver.OracleDriver found in Thread context class loader sun.misc.Launcher$AppClassLoader@764c12b6 | c.z.h.HikariConfig 
2018-04-30 11:30:47,022  INFO | Starting SpringBootTestApplication on vitzrobisrnd-PC with PID 5584 (D:\_Develope\_Sources\_Github\VitzroProject\VitzroProject\target\classes started by SMK in D:\_Develope\_Sources\_Github\VitzroProject\VitzroProject) | c.v.SpringBootTestApplication 
2018-04-30 11:30:47,029 DEBUG | Running with Spring Boot v2.0.1.RELEASE, Spring v5.0.5.RELEASE | c.v.SpringBootTestApplication 
2018-04-30 11:30:47,030  INFO | No active profile set, falling back to default profiles: default | c.v.SpringBootTestApplication 
2018-04-30 11:30:48,002 DEBUG | Driver class oracle.jdbc.driver.OracleDriver found in Thread context class loader sun.misc.Launcher$AppClassLoader@764c12b6 | c.z.h.HikariConfig 
2018-04-30 13:14:36,537  INFO | Starting SpringBootTestApplication on vitzrobisrnd-PC with PID 19392 (D:\_Develope\_Sources\_Github\VitzroProject\VitzroProject\target\classes started by SMK in D:\_Develope\_Sources\_Github\VitzroProject\VitzroProject) | c.v.SpringBootTestApplication 
2018-04-30 13:14:36,543 DEBUG | Running with Spring Boot v2.0.1.RELEASE, Spring v5.0.5.RELEASE | c.v.SpringBootTestApplication 
2018-04-30 13:14:36,544  INFO | No active profile set, falling back to default profiles: default | c.v.SpringBootTestApplication 
2018-04-30 13:14:37,578 DEBUG | Driver class oracle.jdbc.driver.OracleDriver found in Thread context class loader sun.misc.Launcher$AppClassLoader@764c12b6 | c.z.h.HikariConfig 
